x,Curve1
-0.528646,3.11526
-0.52357,3.11072
-0.521212,3.11018
-0.496421,3.08757
-0.491344,3.08302
-0.488987,3.08248
-0.483911,3.07793
-0.476477,3.07285
-0.468093,3.06415
-0.463017,3.0596
-0.460659,3.05907
-0.455583,3.05452
-0.448149,3.04943
-0.443073,3.04489
-0.440715,3.04435
-0.435639,3.0398
-0.427616,3.03458
-0.422179,3.02655
-0.417102,3.022
-0.414745,3.02147
-0.409669,3.01692
-0.404593,3.01237
-0.402235,3.01184
-0.387367,3.00167
-0.381341,2.99351
-0.376265,2.98896
-0.373907,2.98842
-0.368831,2.98387
-0.361397,2.97879
-0.355731,2.97411
-0.348298,2.96902
-0.340864,2.96394
-0.33343,2.95885
-0.28398,2.92046
-0.276546,2.91537
-0.269112,2.91029
-0.261679,2.9052
-0.254245,2.90012
-0.237837,2.8862
-0.230404,2.88112
-0.22297,2.87604
-0.215536,2.87095
-0.188159,2.85115
-0.170934,2.84045
-0.16291,2.83523
-0.155477,2.83015
-0.148043,2.82507
-0.142377,2.82038
-0.134944,2.8153
-0.0977747,2.78988
-0.0903409,2.7848
-0.0725265,2.77396
-0.0502252,2.75871
-0.0427914,2.75363
-0.0255663,2.74293
-0.0106988,2.73276
-0.00326503,2.72767
0.00416873,2.72259
0.0219832,2.71176
0.0392083,2.70105
0.0472315,2.69584
0.0644566,2.68513
0.0816816,2.67443
0.0897048,2.66922
0.10693,2.65851
0.135125,2.64193
0.15235,2.63123
0.170165,2.62039
0.197771,2.60394
0.225376,2.58748
0.252982,2.57103
0.281177,2.55444
0.309373,2.53786
0.337568,2.52127
0.376144,2.49893
0.41472,2.47659
0.452706,2.45439
0.491872,2.43192
0.531037,2.40944
0.570202,2.38697
0.609957,2.36437
0.63992,2.34738
0.680264,2.32464
0.710817,2.30752
0.751161,2.28478
0.781714,2.26766
0.811677,2.25067
0.84282,2.23342
0.873372,2.2163
0.904515,2.19904
0.935657,2.18179
0.96621,2.16467
0.997352,2.14741
1.02849,2.13016
1.05964,2.1129
1.08099,2.10127
1.11213,2.08401
1.13348,2.07237
1.16403,2.05525
1.18597,2.04348
1.21594,2.0265
1.23788,2.01473
1.26902,1.99747
1.30016,1.98022
1.32151,1.96858
1.34286,1.95694
1.37459,1.93955
1.39595,1.92792
1.4173,1.91628
1.44844,1.89903
1.46979,1.88739
1.49173,1.87562
1.52287,1.85837
1.54422,1.84673
1.56557,1.83509
1.5973,1.8177
1.61866,1.80607
1.64001,1.79443
1.67174,1.77704
1.69309,1.76541
1.71444,1.75377
1.73579,1.74213
1.76752,1.72474
1.78828,1.71324
1.81022,1.70147
1.83157,1.68983
1.86272,1.67258
1.88525,1.66068
1.91639,1.64342
1.93774,1.63178
1.95909,1.62015
1.98044,1.60851
2.00179,1.59687
2.02373,1.5851
2.05487,1.56785
2.07623,1.55621
2.09817,1.54444
2.12931,1.52719
2.15066,1.51555
2.1726,1.50378
2.19395,1.49214
2.25741,1.45737
2.27876,1.44573
2.30991,1.42848
2.33185,1.41671
2.36299,1.39945
2.38434,1.38782
2.40569,1.37618
2.42763,1.36441
2.45877,1.34715
2.48012,1.33552
2.50147,1.32388
2.53321,1.30649
2.55456,1.29486
2.57591,1.28322
2.62781,1.25446
2.64916,1.24283
2.6803,1.22557
2.70224,1.2138
2.72359,1.20216
2.75415,1.18504
2.78588,1.16765
2.80723,1.15602
2.82858,1.14438
2.84993,1.13274
2.88166,1.11536
2.90301,1.10372
2.93357,1.0866
2.95551,1.07483
2.98665,1.05757
3.008,1.04594
3.03914,1.02868
3.06049,1.01705
3.09164,0.999791
3.1124,0.988288
3.13434,0.976518
3.16548,0.959263
3.19662,0.942009
3.21738,0.930506
3.24852,0.913251
3.27908,0.89613
3.31022,0.878875
3.33157,0.867239
3.36271,0.849984
3.38406,0.838347
3.41521,0.821093
3.44635,0.803838
3.47749,0.786584
3.49825,0.775081
3.52939,0.757826
3.56054,0.740571
3.59168,0.723317
3.62282,0.706062
3.64358,0.694559
3.67472,0.677304
3.70587,0.66005
3.73642,0.642929
3.77735,0.620056
3.79811,0.608553
3.82926,0.591298
3.8696,0.568559
3.90074,0.551305
3.93188,0.53405
3.96185,0.517063
3.9924,0.499942
4.03333,0.477069
4.06389,0.459948
4.09444,0.442827
4.12558,0.425572
4.15613,0.408451
4.19648,0.385712
4.22703,0.368591
4.26738,0.345852
4.29793,0.328731
4.32848,0.31161
4.36883,0.288871
4.39938,0.27175
4.43972,0.249011
4.47028,0.23189
4.51003,0.209284
4.54058,0.192163
4.58093,0.169424
4.6103,0.15257
4.65064,0.129831
4.6812,0.11271
4.72095,0.0901047
4.7613,0.0673656
4.79185,0.0502446
4.8316,0.0276391
4.87136,0.00503364
4.9117,-0.0177054
4.94167,-0.0346929
4.98142,-0.0572984
5.02118,-0.0799038
5.05173,-0.0970249
5.09089,-0.119497
5.13124,-0.142236
5.17099,-0.164841
5.21075,-0.187447
5.24991,-0.209919
5.27988,-0.226906
5.31963,-0.249512
5.35939,-0.272117
5.39914,-0.294723
5.43889,-0.317328
5.46886,-0.334316
5.50802,-0.356787
5.54778,-0.379393
5.58753,-0.401998
5.62729,-0.424604
5.66645,-0.447076
5.70621,-0.469681
5.73558,-0.486535
5.77534,-0.509141
5.8145,-0.531613
